date,Humidity,Windspeed,Temperature,Precipitation,PM10
2018-01-01,86,12,52,0.0,23
2018-01-02,82,10,55,0.0,35
2018-01-03,63,13,56,0.01,45
2018-01-04,75,13,61,0.19,28
2018-01-05,95,8,57,0.0,10
2018-01-06,92,12,59,0.0,13
2018-01-07,92,9,56,0.0,20
2018-01-08,89,21,61,0.18,15
2018-01-09,86,30,58,2.34,8
2018-01-10,66,21,59,0.0,27
2018-01-11,86,10,54,0.0,35
2018-01-12,76,13,56,0.0,54
2018-01-13,57,13,60,0.0,103
2018-01-14,51,12,62,0.0,122
2018-01-15,86,14,53,0.0,73
2018-01-16,80,9,55,0.0,95
2018-01-17,77,13,58,0.0,73
2018-01-18,78,9,57,0.0,61
2018-01-19,69,16,55,0.0,21
2018-01-20,45,21,54,0.0,25
2018-01-21,50,13,50,0.0,31
2018-01-22,53,15,51,0.0,35
2018-01-23,57,14,54,0.0,38
2018-01-24,62,12,53,0.0,39
2018-01-25,55,24,53,0.0,45
2018-01-26,56,23,52,0.0,28
2018-01-27,50,12,52,0.0,20
2018-01-28,46,12,59,0.0,23
2018-01-29,45,10,60,0.0,48
2018-01-30,48,12,61,0.0,51
2018-01-31,53,8,56,0.0,39
2018-02-01,50,9,58,0.0,44
2018-02-02,58,12,60,0.0,46
2018-02-03,63,12,57,0.0,29
2018-02-04,74,12,58,0.0,22
2018-02-05,90,13,52,0.0,26
2018-02-06,88,9,54,0.0,42
2018-02-07,79,15,54,0.0,35
2018-02-08,67,8,57,0.0,29
2018-02-09,71,15,55,0.0,29
2018-02-10,85,9,54,0.0,29
2018-02-11,67,21,55,0.0,39
2018-02-12,54,26,54,0.0,23
2018-02-13,72,18,54,0.0,18
2018-02-14,69,13,55,0.01,13
2018-02-15,57,15,54,0.0,23
2018-02-16,49,9,54,0.0,25
2018-02-17,59,13,54,0.0,26
2018-02-18,70,24,54,0.0,22
2018-02-19,40,28,48,0.0,26
2018-02-20,41,16,46,0.0,16
2018-02-21,45,24,48,0.0,15
2018-02-22,55,25,48,0.0,26
2018-02-23,38,24,48,0.0,14
2018-02-24,41,21,46,0.0,19
2018-02-25,54,15,48,0.0,20
2018-02-26,59,25,50,0.0,19
2018-02-27,59,13,45,0.0,15
2018-02-28,61,12,45,0.0,18
2018-03-01,74,13,48,0.18,17
2018-03-02,78,15,55,0.15,9
2018-03-03,72,23,52,0.16,8
2018-03-04,49,15,51,0.0,9
2018-03-05,49,12,52,0.0,13
2018-03-06,43,12,56,0.0,17
2018-03-07,60,14,55,0.0,29
2018-03-08,60,12,56,0.0,25
2018-03-09,80,12,58,0.0,24
2018-03-10,86,15,58,0.87,11
2018-03-11,87,13,59,0.01,7
2018-03-12,89,10,59,0.01,14
2018-03-13,95,13,58,0.63,6
2018-03-14,80,15,54,0.44,8
2018-03-15,66,24,56,0.0,8
2018-03-16,82,12,49,0.12,10
2018-03-17,70,26,51,0.0,6
2018-03-23,75,10,54,0.0,12
2018-03-24,68,26,54,0.0,10
2018-03-25,45,21,57,0.0,8
2018-03-26,39,29,58,0.0,9
2018-03-27,51,18,56,0.0,18
2018-03-28,68,13,56,0.0,27
2018-03-29,88,10,56,0.0,18
2018-03-30,90,12,55,0.0,14
2018-03-31,90,13,55,0.0,11
2018-04-01,90,10,56,0.0,13
2018-04-02,83,10,54,0.0,15
2018-04-03,80,18,55,0.0,25
2018-04-04,90,12,57,0.0,25
2018-04-05,83,12,58,0.0,25
2018-04-06,74,24,60,0.0,23
2018-04-07,72,23,69,0.0,19
2018-04-08,45,24,69,0.0,35
2018-04-09,51,16,67,0.0,48
2018-04-10,57,13,65,0.0,46
2018-04-11,53,26,63,0.0,34
2018-04-12,43,28,62,0.0,19
2018-04-13,51,24,61,0.0,41
2018-04-14,58,10,62,0.0,33
2018-04-15,60,12,60,0.0,36
2018-04-16,57,30,57,0.0,28
2018-04-17,54,18,56,0.0,12
2018-04-18,61,15,54,0.0,26
2018-04-19,60,28,58,0.0,16
